landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
4,Crops,11.26963662,30.79677406,,7.41E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8825, 28.4], [76.88999999999999, 28.4], [76.88999999999999, 28.40625], [76.8825, 28.40625], [76.8825, 28.4]]]}"
4,Crops,13.2922713,30.79334988,,7.60E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.4], [76.8975, 28.4], [76.8975, 28.40625], [76.89, 28.40625], [76.89, 28.4]]]}"
4,Crops,13.45070376,31.03157664,,7.77E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8975, 28.4], [76.90499999999999, 28.4], [76.90499999999999, 28.40625], [76.8975, 28.40625], [76.8975, 28.4]]]}"
6,Built area,21.30926355,30.76099281,2.058376705,7.77E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.905, 28.4], [76.9125, 28.4], [76.9125, 28.40625], [76.905, 28.40625], [76.905, 28.4]]]}"
6,Built area,25.02605256,30.65902078,1.95640467,8.04E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9125, 28.4], [76.91999999999999, 28.4], [76.91999999999999, 28.40625], [76.9125, 28.40625], [76.9125, 28.4]]]}"
6,Built area,23.15471168,30.57558314,1.872967033,8.12E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.4], [76.9275, 28.4], [76.9275, 28.40625], [76.92, 28.40625], [76.92, 28.4]]]}"
6,Built area,27.33205573,30.51173478,1.809118671,8.17E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9275, 28.4], [76.93499999999999, 28.4], [76.93499999999999, 28.40625], [76.9275, 28.40625], [76.9275, 28.4]]]}"
6,Built area,25.55131363,30.49275782,1.790141705,8.23E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.935, 28.4], [76.9425, 28.4], [76.9425, 28.40625], [76.935, 28.40625], [76.935, 28.4]]]}"
6,Built area,30.71844888,30.53812601,1.8355099,8.26E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9425, 28.4], [76.94999999999999, 28.4], [76.94999999999999, 28.40625], [76.9425, 28.40625], [76.9425, 28.4]]]}"
6,Built area,31.02092659,30.29899515,1.596379039,8.30E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.4], [76.9575, 28.4], [76.9575, 28.40625], [76.95, 28.40625], [76.95, 28.4]]]}"
6,Built area,26.84589988,30.32128653,1.618670424,8.30E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9575, 28.4], [76.96499999999999, 28.4], [76.96499999999999, 28.40625], [76.9575, 28.40625], [76.9575, 28.4]]]}"
6,Built area,23.62390807,30.35530191,1.6526858,8.46E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.965, 28.4], [76.9725, 28.4], [76.9725, 28.40625], [76.965, 28.40625], [76.965, 28.4]]]}"
6,Built area,19.64577012,30.40607573,1.703459615,8.63E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9725, 28.4], [76.97999999999999, 28.4], [76.97999999999999, 28.40625], [76.9725, 28.40625], [76.9725, 28.4]]]}"
6,Built area,23.25501725,30.49473053,1.792114421,8.80E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.4], [76.9875, 28.4], [76.9875, 28.40625], [76.98, 28.40625], [76.98, 28.4]]]}"
6,Built area,28.3011542,30.6166964,1.914080294,8.98E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9875, 28.4], [76.99499999999999, 28.4], [76.99499999999999, 28.40625], [76.9875, 28.40625], [76.9875, 28.4]]]}"
6,Built area,24.47788371,30.3836632,1.681047092,8.98E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.995, 28.4], [77.0025, 28.4], [77.0025, 28.40625], [76.995, 28.40625], [76.995, 28.4]]]}"
6,Built area,23.54662102,30.38580611,1.683189999,9.24E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0025, 28.4], [77.00999999999999, 28.4], [77.00999999999999, 28.40625], [77.0025, 28.40625], [77.0025, 28.4]]]}"
6,Built area,26.61816927,30.12670765,1.424091542,9.32E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.4], [77.0175, 28.4], [77.0175, 28.40625], [77.01, 28.40625], [77.01, 28.4]]]}"
6,Built area,22.65417183,29.85016772,1.14755161,9.40E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0175, 28.4], [77.02499999999999, 28.4], [77.02499999999999, 28.40625], [77.0175, 28.40625], [77.0175, 28.4]]]}"
6,Built area,24.3687951,29.60073687,0.898120764,9.48E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.025, 28.4], [77.0325, 28.4], [77.0325, 28.40625], [77.025, 28.40625], [77.025, 28.4]]]}"
6,Built area,36.21924545,29.33321541,0.630599299,9.55E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0325, 28.4], [77.03999999999999, 28.4], [77.03999999999999, 28.40625], [77.0325, 28.40625], [77.0325, 28.4]]]}"
6,Built area,42.33577748,28.88984179,0.187225683,9.56E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.4], [77.0475, 28.4], [77.0475, 28.40625], [77.04, 28.40625], [77.04, 28.4]]]}"
6,Built area,36.87082751,29.03273959,0.330123478,9.59E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0475, 28.4], [77.05499999999999, 28.4], [77.05499999999999, 28.40625], [77.0475, 28.40625], [77.0475, 28.4]]]}"
