landcover_class,geometry,landcover_name
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.4], [76.83, 28.4], [76.83, 28.424999999999997], [76.8, 28.424999999999997], [76.8, 28.4]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.4], [76.86, 28.4], [76.86, 28.424999999999997], [76.83, 28.424999999999997], [76.83, 28.4]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.4], [76.89, 28.4], [76.89, 28.424999999999997], [76.86, 28.424999999999997], [76.86, 28.4]]]}",Crops
5.999999999999987,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.4], [76.92, 28.4], [76.92, 28.424999999999997], [76.89, 28.424999999999997], [76.89, 28.4]]]}",
5.999999999999996,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.4], [76.95, 28.4], [76.95, 28.424999999999997], [76.92, 28.424999999999997], [76.92, 28.4]]]}",
5.999999999999969,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.4], [76.98, 28.4], [76.98, 28.424999999999997], [76.95, 28.424999999999997], [76.95, 28.4]]]}",
5.999999999999951,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.4], [77.01, 28.4], [77.01, 28.424999999999997], [76.98, 28.424999999999997], [76.98, 28.4]]]}",
5.999999999999922,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.4], [77.04, 28.4], [77.04, 28.424999999999997], [77.01, 28.424999999999997], [77.01, 28.4]]]}",
5.999999999999892,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.4], [77.07000000000001, 28.4], [77.07000000000001, 28.424999999999997], [77.04, 28.424999999999997], [77.04, 28.4]]]}",
5.999999999999983,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.4], [77.10000000000001, 28.4], [77.10000000000001, 28.424999999999997], [77.07000000000001, 28.424999999999997], [77.07000000000001, 28.4]]]}",
5.999999999999985,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.4], [77.13, 28.4], [77.13, 28.424999999999997], [77.1, 28.424999999999997], [77.1, 28.4]]]}",
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.4], [77.16, 28.4], [77.16, 28.424999999999997], [77.13, 28.424999999999997], [77.13, 28.4]]]}",Crops
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.4], [77.19, 28.4], [77.19, 28.424999999999997], [77.16, 28.424999999999997], [77.16, 28.4]]]}",Trees
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.4], [77.22, 28.4], [77.22, 28.424999999999997], [77.19, 28.424999999999997], [77.19, 28.4]]]}",Trees
